ID,Type,Collision,Blocking,Active_Agent,Replan_Success,Time_ms,Result
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,0,0,R2,1,0,SUCCESS
Exp_07,2,0,0,R2,1,0,SUCCESS
Exp_08,2,0,0,R2,1,0,SUCCESS
Exp_09,2,0,0,R2,1,0,SUCCESS
Exp_10,2,0,0,R2,1,0,SUCCESS
Exp_01,1,1,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,0,0,R2,1,0,SUCCESS
Exp_07,2,0,0,R2,1,0,SUCCESS
Exp_08,2,0,0,R2,1,0,SUCCESS
Exp_09,2,0,0,R2,1,0,SUCCESS
Exp_10,2,0,0,R2,1,0,SUCCESS
Exp_11,2,0,0,R2,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_01,1,1,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,0,0,R2,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_01,1,1,1,R1,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,1,0,R2,1,0,SUCCESS
Exp_07,2,1,0,R2,1,0,SUCCESS
Exp_08,2,0,0,R2,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,1,0,R2,1,0,SUCCESS
Exp_07,2,1,0,R2,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,1,0,R2,1,0,SUCCESS
Exp_07,2,1,0,R2,1,0,SUCCESS
Exp_08,2,1,0,R2,1,0,SUCCESS
Exp_09,2,1,0,R2,1,0,SUCCESS
Exp_10,2,0,0,R2,1,0,SUCCESS
Exp_01,1,1,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,1,0,R2,1,0,SUCCESS
Exp_07,2,1,0,R2,1,0,SUCCESS
Exp_08,2,1,0,R2,1,0,SUCCESS
Exp_09,2,1,0,R2,1,0,SUCCESS
Exp_01,1,0,0,R2,1,0,SUCCESS
Exp_02,2,1,0,R2,1,0,SUCCESS
Exp_03,2,1,0,R2,1,0,SUCCESS
Exp_04,2,1,0,R2,1,0,SUCCESS
Exp_05,2,1,0,R2,1,0,SUCCESS
Exp_06,2,1,0,R2,1,0,SUCCESS
Exp_07,2,1,0,R2,1,0,SUCCESS
Exp_08,2,1,0,R2,1,0,SUCCESS
Exp_09,2,1,0,R2,1,0,SUCCESS
Exp_10,2,1,0,R2,1,0,SUCCESS
Exp_11,2,1,0,R2,1,0,SUCCESS
Exp_01,2,0,0,R2,1,0,SUCCESS
Exp_02,3,0,0,R2,1,0,SUCCESS
Exp_01,2,0,0,R2,1,0,SUCCESS
Exp_01,2,0,0,R2,1,0,SUCCESS
Exp_02,3,1,1,R1,1,0,SUCCESS
